epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,average_precision_train,average_precision_valid,fold
0,0.45674511475329893,0.4259713961268371,0.6586545164339176,0.7338925275866901,0.26183240234449984,0.31352490211713807,1
1,0.4255914358122492,0.4091739457733226,0.6947686589599802,0.724691689802155,0.283954373632905,0.3124801100951465,1
2,0.415821375530977,0.3892020836191357,0.7145163660883327,0.7624448806325312,0.29431187367713746,0.3291125229131242,1
3,0.4090611934191797,0.39794902700298235,0.7246876544795204,0.7501696270848717,0.3008245423602488,0.33154048176509027,1
4,0.4051817234852337,0.3930559608171571,0.7374080078394936,0.7511493362125217,0.30712853640400467,0.3242503751436786,1
5,0.3877392763783127,0.37475800429874995,0.7644496781664702,0.7885935294604373,0.3264996693975964,0.3541589370676152,1
6,0.3802187826825241,0.37259057220423,0.779341478512418,0.7916150462478546,0.33618688197660257,0.358450788723427,1
7,0.37621333673361346,0.36568902685957133,0.7866796643576636,0.8020315200055201,0.34049731161659885,0.36411938451860354,1
8,0.37564719748045744,0.36679826058306786,0.788462491736935,0.8034003613462434,0.3421389794225374,0.36517964478953374,1
9,0.3678166046973659,0.37528475331810285,0.797136918290294,0.8025789137991977,0.35685173358268313,0.36099465368854616,1
10,0.36504558344556703,0.36998866498470306,0.8033956990805503,0.8030615339457217,0.3613005466471295,0.36289377859261,1
11,0.3639770325049993,0.36624957255597385,0.806596045779434,0.8042063576725635,0.3596352067680955,0.36600122822570763,1
12,0.3620939841875895,0.3651133933157291,0.810179688514959,0.804993409240762,0.3635285859358606,0.36503114531926384,1
13,0.3614895100285202,0.3685425123516119,0.8123894542746565,0.8021960738022738,0.36515449099210934,0.36512446094972933,1
14,0.3618660640641342,0.3726630688838239,0.8080023938414544,0.8021519399594458,0.364174157345323,0.36513535043999495,1
15,0.360824553372356,0.36692400136083925,0.8118624003103554,0.8044169819891402,0.3673930047825788,0.36707094490022746,1
16,0.35944135548188483,0.3682547383150964,0.8134690182351858,0.8037234780086325,0.36788802926802094,0.3670688085644165,1
17,0.3594732682223576,0.3662215490948479,0.8137068198688034,0.8053500652687212,0.3703253139471187,0.36812111202888437,1
18,0.36031631410874027,0.3671725389530074,0.8116853366322443,0.8047234235786684,0.36698806313500265,0.3653366831190941,1
19,0.3608822737018393,0.36786787464933574,0.8104198531964647,0.8038598039118064,0.36658779783660606,0.3661570752994429,1
