epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,average_precision_train,average_precision_valid,fold
0,0.4522098740004591,0.40891826490186295,0.6617415041828908,0.7234496664187948,0.26572200848664057,0.3113270855038603,4
1,0.41928162366997934,0.39875585965390475,0.7082709000101086,0.7586308832129856,0.28892662451322215,0.3291404011657003,4
2,0.4144186785544507,0.39056652812462933,0.7223210348241575,0.7636596055946716,0.29608415828128737,0.33343153037505774,4
3,0.4092534812466955,0.4120157830557733,0.7289174896550035,0.7536265351251092,0.3029232397086744,0.32402908949825865,4
4,0.4001725443906212,0.3879502072649182,0.7461793321399398,0.7685202713173246,0.3157352176177328,0.33861590042674417,4
5,0.39986438456958023,0.3931668889972399,0.7511733494189555,0.7809900590514565,0.316315496151261,0.34064537922740423,4
6,0.39246853904017137,0.390802800374211,0.7612678609476273,0.7760114158708757,0.3250797932938226,0.33932895510325994,4
7,0.3765067581310633,0.37398495989025765,0.7869750466510584,0.8000011691427609,0.3511907215933165,0.36003577477166054,4
8,0.3685761483779841,0.3724375901357183,0.798896982776891,0.8022526847966085,0.3595543337545006,0.3606649868689203,4
9,0.36644546259840954,0.372139518553356,0.8012482589664176,0.805945876493181,0.36186551460803623,0.3607482227999366,4
10,0.3652470105265969,0.370018536470971,0.803210943546787,0.8087309572090196,0.3608696272205723,0.36942984713067445,4
11,0.36074947248497974,0.3764108891757029,0.8080003308682827,0.8050124527843439,0.3676394873246487,0.3684935037731248,4
12,0.3571649363928413,0.37531391742094505,0.815776669066403,0.8054173160228231,0.3756112726549283,0.3664378278483184,4
13,0.35158048908605183,0.3745445600658093,0.8242396756678594,0.8067322799649788,0.3826769418809473,0.36752433163528325,4
14,0.3525073706915702,0.3728827862244732,0.8193998456545268,0.8080411439762625,0.3807739515983335,0.3682032912673956,4
15,0.3503647302791523,0.3736475374338762,0.8238557865560044,0.8069385339305489,0.38591187395746274,0.36838568710163727,4
