epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,average_precision_train,average_precision_valid,fold
0,0.48825215840715863,0.4338612342780491,0.5956895373755411,0.7117773543349873,0.2213020149144451,0.30174415904682433,1
1,0.4306687243591399,0.3938403970228051,0.6873265865686184,0.7660925642760053,0.28081170369097125,0.3362486776911419,1
2,0.4195436375175237,0.3976593169401277,0.7162351878553425,0.7419109088591455,0.2937467698322897,0.3253741970083107,1
3,0.4076277653023571,0.39743844236967696,0.7322475074175171,0.7882534880270368,0.30500997882962244,0.3536695883724232,1
4,0.38329209741462145,0.3731489979995872,0.7742901280348407,0.7961309917925995,0.334785489065329,0.35929973976181967,1
5,0.3790627765878888,0.3730542384228616,0.7812060204492711,0.797374955917304,0.343193953918413,0.3614893672649487,1
6,0.3762482348278429,0.3720968390973109,0.7874500287485307,0.7983834897660852,0.34604162998202037,0.3660870343904918,1
7,0.3718078094709084,0.37511446341028754,0.7952090382934346,0.8006929256322661,0.3519791660803267,0.36579819321106055,1
8,0.37101492116731066,0.3669551436631185,0.7979242023175525,0.802582721380335,0.35505837335235,0.3681813400712308,1
9,0.36648299700821174,0.37407651656078844,0.803490945672589,0.8028008739488413,0.3595147929839165,0.370498656587567,1
10,0.3643645592900893,0.37083048078249087,0.8069353836740096,0.8037209148532961,0.3676350268108152,0.36953907939427016,1
11,0.3610268334988541,0.3662616638642437,0.8136145781157883,0.8053434484111834,0.37614492304278846,0.3711780426425668,1
12,0.3583779350305215,0.3656561847003001,0.8152431598781388,0.8056386374842675,0.37485708078644003,0.3716778368395439,1
13,0.35631947698442656,0.3658596479667808,0.8159504964270728,0.8059180303771998,0.3817255922454504,0.3721178908804153,1
14,0.3602277909275108,0.3654000278351442,0.8113151979232327,0.8052770682347674,0.3736185095703497,0.3720317177341801,1
15,0.3568766488743252,0.3664953942006489,0.8161518482812571,0.8048147887278468,0.37789311523585284,0.37110059603600526,1
16,0.35877127162156963,0.3664097673488113,0.8135632952999354,0.8054873780163303,0.37451179973255583,0.371745311257784,1
17,0.3557165139290473,0.3664200395907996,0.8174602787433543,0.8055755503665366,0.380380873556847,0.371899794914083,1
18,0.3532954198280735,0.36642394650657223,0.8199460556720157,0.8056745108337928,0.3795775565644199,0.3718875403947322,1
